Plate, Western Mains, Grilled Cottage Cheese, 550,"Marinated cottage cheese lentil sauce side salad herbs rice"

Plate, Burger/Sandwich/Wrap, Sunrise Garden Burger, 350,"House-special burger with grilled /Beetroot patty, cheese, lettuce, tomato, caramelized onions, and homemade burger sauce, served with fries"
Plate, Burger/Sandwich/Wrap, Vegetable Sandwich, 360,"Classic sandwich with lettuce, tomato, cucumber, cheese Vegetable Patty, and mayo on toasted white bread Served with fries"
Plate, Burger/Sandwich/Wrap, Club Sandwich, 550,"Triple-layer sandwich with chicken, fried egg, lettuce, tomato, cheese and mayonnaise, served with fries"
Plate, Burger/Sandwich/Wrap, Vegetable Cheese Burger, 370,"Veg patty with cheese lettuce, tomato and mayo in a burger bun, served with fries"
Plate, Burger/Sandwich/Wrap, Chicken burger, 400,"Chicken patty with cheese lettuce tomato cucumber and mayonnaise, served with homemade hand cut chips"
Plate, Burger/Sandwich/Wrap, Crispy Chicken burger, 400,"Chicken patty with cheese lettuce tomato cucumber and mayonnaise, served with homemade hand cut chips"

Bottle, Imported Whisky, Black Label (60ml), 1200, ""
Bottle, Imported Whisky, Black Label (180ml), 3450, ""
Bottle, Imported Whisky, Black Label (500ml), 6450, ""
Bottle, Imported Whisky, Black Label (1000ml), 12500, ""
Bottle, Imported Whisky, Double Black (60ml), 1300, ""
Bottle, Imported Whisky, Double Black (180ml), 3750, ""
Bottle, Imported Whisky, Double Black (500ml), 7100, ""
Bottle, Imported Whisky, Double Black (1000ml), 13200, ""
Bottle, Imported Whisky, Jack Daniels (60ml), 950, ""
Bottle, Imported Whisky, Jack Daniels (180ml), 2800, ""
Bottle, Imported Whisky, Jack Daniels (500ml), 5280, ""
Bottle, Imported Whisky, Jack Daniels (1000ml), 9900, ""
Bottle, Imported Whisky, Red Label (60ml), 1000, ""
Bottle, Imported Whisky, Red Label (180ml), 3000, ""
Bottle, Imported Whisky, Red Label (500ml), 6000, ""
Bottle, Imported Whisky, Red Label (1000ml), 12000, ""
Bottle, Domestic Whisky, OD B. Chimney (60ml), 650, ""
Bottle, Domestic Whisky, OD B. Chimney (180ml), 1450, ""
Bottle, Domestic Whisky, OD B. Chimney (350ml), 2750, ""
Bottle, Domestic Whisky, OD B. Chimney (750ml), 5150, ""
Bottle, Domestic Whisky, OD Regular (60ml), 450, ""
Bottle, Domestic Whisky, OD Regular (180ml), 1150, ""
Bottle, Domestic Whisky, OD Regular (350ml), 2150, ""
Bottle, Domestic Whisky, OD Regular (750ml), 3950, ""
Bottle, Domestic Whisky, Kalapattar (60ml), 400, ""
Bottle, Domestic Whisky, Kalapattar (180ml), 1050, ""
Bottle, Domestic Whisky, Kalapattar (350ml), 2000, ""
Bottle, Domestic Whisky, Kalapattar (750ml), 3850, ""
Bottle, Domestic Whisky, Gorkha Guns (60ml), 500, ""
Bottle, Domestic Whisky, Gorkha Guns (180ml), 1250, ""
Bottle, Domestic Whisky, Gorkha Guns (350ml), 2350, ""
Bottle, Domestic Whisky, Gorkha Guns (750ml), 4150, ""
Bottle, Domestic Whisky, Signature (60ml), 375, ""
Bottle, Domestic Whisky, Signature (180ml), 1050, ""
Bottle, Domestic Whisky, Signature (350ml), 1920, ""
Bottle, Domestic Whisky, Signature (750ml), 3600, ""
Bottle, Domestic Whisky, 8848 (60ml), 350, ""
Bottle, Domestic Whisky, 8848 (180ml), 950, ""
Bottle, Domestic Whisky, 8848 (350ml), 1700, ""
Bottle, Domestic Whisky, 8848 (750ml), 3200, ""
Bottle, Domestic Whisky, Ruslan (60ml), 375, ""
Bottle, Domestic Whisky, Ruslan (180ml), 1050, ""
Bottle, Domestic Whisky, Ruslan (350ml), 2050, ""
Bottle, Domestic Whisky, Ruslan (750ml), 3600, ""
Bottle, Domestic Whisky, Khukuri Rum (60ml), 350, ""
Bottle, Domestic Whisky, Khukuri Rum (180ml), 950, ""
Bottle, Domestic Whisky, Khukuri Rum (350ml), 1700, ""
Bottle, Domestic Whisky, Khukuri Rum (750ml), 3200, ""
Bottle, Beer, Tuborg, 600, ""
Bottle, Beer, Carlsberg, 600, ""
Bottle, Beer, Gorkha, 500, ""
Bottle, Beer, Barasinghe Pilsner, 550, ""
Bottle, Beer, Barasinghe Hazy IPA, 575, ""
Bottle, Beer, Somersby Apple Cider, 300, ""
Bottle, Hookah, Hukka, 550, ""
Bottle, Hookah, Extra Coil, 50, ""
Bottle, Hookah, Surya Light, 35, ""
Bottle, Hookah, Surya red, 35, ""
Bottle, Hookah, Shikhar Ice, 35, ""

